ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,CUSTOMER_NAME,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT
1,CA-2020-152156,11/08/2020,11/11/2020,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,CA-2020-152156,11/08/2020,11/11/2020,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.582
3,CA-2020-138688,06/12/2020,06/16/2020,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
4,US-2021-108966,10/11/2021,10/18/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2021-108966,10/11/2021,10/18/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2021-115812,06/09/2021,06/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,48.86,7,0,14.1694
7,CA-2021-115812,06/09/2021,06/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
8,CA-2021-115812,06/09/2021,06/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2021-114412,04/15/2021,04/20/2021,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2020-161389,12/05/2020,12/10/2020,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-AP-10002311,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2020-161389,12/05/2020,12/10/2020,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2020-161389,12/05/2020,12/10/2020,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,TEC-PH-10002447,Technology,Phones,Konftel 250 Conference phone,911.424,4,0.2,68.3568
13,US-2021-103800,10/24/2021,10/29/2021,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,15.552,3,0.2,5.4432
14,US-2021-112326,12/30/2021,01/03/2022,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-AP-10002684,Office Supplies,Appliances,Acco 7-Outlet Masterpiece Power Center,68.81,5,0,16.5144
15,CA-2022-135545,01/31/2022,02/05/2022,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-PA-10002365,Office Supplies,Paper,It's Hot Message Books with Stickers by Hot Frog,15.76,2,0.4,5.4264
16,CA-2022-135545,01/31/2022,02/05/2022,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-BI-10000474,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Gauge Vinyl,22.72,2,0.2,7.384
17,CA-2022-135545,01/31/2022,02/05/2022,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,45.98,3,0.2,16.9926
18,US-2022-118983,11/22/2022,11/26/2022,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
19,CA-2022-105816,05/31/2022,06/05/2022,Standard Class,KB-16585,Ken Black,Home Office,United States,Fremont,Nebraska,68025,Central,OFF-BI-10002215,Office Supplies,Binders,GBC Prepunched Paper 19 Hole Letter Size,13.904,7,0.2,6.0776
20,CA-2022-167164,05/13/2022,05/15/2022,First Class,SV-20365,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10004186,Office Supplies,Storage,R380 Series Metallic Plastic Drawer Organizer,78.69,3,0.2,15.5646
